old_path	new_path	classification	bytes	sha256
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\01-Claude-1\01-01-Claude-1-架构精译.md	content\llm-guide\_archive\model-knowledge\claude\legacy-14\01-Claude-1\01-01-Claude-1-架构精译.md	legacy-markdown	8324	f404445724dd78ea654574a5aeea52d1b08caee8b585ff09120900aed93d6c28
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\01-Claude-1\05-01-Claude-1-核心技术专题.md	content\llm-guide\_archive\model-knowledge\claude\legacy-14\01-Claude-1\05-01-Claude-1-核心技术专题.md	legacy-markdown	12933	9cc465b16be2a475248717940ad8dbedfa53f23669dab7fd5dd01ef2d98aceb3
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\01-Claude-1\pdfs\Claude-1.html	content\llm-guide\_sources\model-reports\claude\legacy-14\01-Claude-1\pdfs\Claude-1.html	official-html-snapshot	140275	d08e498a00619f0e93470e2abb9e9f97ff8b24f8d43444ab4612a73647293b6e
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\02-Claude-2\01-02-Claude-2-架构精译.md	content\llm-guide\_archive\model-knowledge\claude\legacy-14\02-Claude-2\01-02-Claude-2-架构精译.md	legacy-markdown	4124	b472a4cea9bb34b465c25cc5248a1782bd95fd05d9b212025e9b996f702696fe
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\02-Claude-2\05-02-Claude-2-超长上下文与Constitutional AI的工程实践.md	content\llm-guide\_archive\model-knowledge\claude\legacy-14\02-Claude-2\05-02-Claude-2-超长上下文与Constitutional AI的工程实践.md	legacy-markdown	8692	0054e77cbc47823b5fbcbf7df673bd9e151ab41048980800319ecfff9e3c4c9f
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\02-Claude-2\05-02-Claude-2-核心技术专题.md	content\llm-guide\_archive\model-knowledge\claude\legacy-14\02-Claude-2\05-02-Claude-2-核心技术专题.md	legacy-markdown	1306	7b5a01d6f41a857c9b8bc8eccf4313ed51e104790f66ac11ba8ab54eff5cf01e
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\02-Claude-2\pdfs\Claude-2.html	content\llm-guide\_sources\model-reports\claude\legacy-14\02-Claude-2\pdfs\Claude-2.html	official-html-snapshot	140650	f73a61832c7e173468bf1785b5888cb6ff66026f460f1a62d32b46ab1f747933
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\02-Claude-2\pdfs\Constitutional-AI.pdf	content\llm-guide\_sources\model-reports\claude\legacy-14\02-Claude-2\pdfs\Constitutional-AI.pdf	official-pdf	2088111	9a456a07ad346e3372f9867d346f69f5b0f68b4c65f060aca0b8a13fa9d98e83
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\03-Claude-2.1\01-03-Claude-2.1-架构精译.md	content\llm-guide\_archive\model-knowledge\claude\legacy-14\03-Claude-2.1\01-03-Claude-2.1-架构精译.md	legacy-markdown	3597	097439e3eac9298bc5e311e9adb76c441d47399b6735bc03ba249c4e225c78c5
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\03-Claude-2.1\05-03-Claude-2.1-核心技术专题.md	content\llm-guide\_archive\model-knowledge\claude\legacy-14\03-Claude-2.1\05-03-Claude-2.1-核心技术专题.md	legacy-markdown	15534	4c8143fef6b4dab92f3d398335be42572404f2c0143f602e5bbaa1a15c71ff8e
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\03-Claude-2.1\pdfs\Claude-2.1.html	content\llm-guide\_sources\model-reports\claude\legacy-14\03-Claude-2.1\pdfs\Claude-2.1.html	official-html-snapshot	121902	e230e7d101245591b617b3301af7bfe2cc9b399d06cc2c2c3f27dcca79a65ee7
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\04-Claude-3-Haiku\01-04-Claude-3-Haiku-架构精译.md	content\llm-guide\_archive\model-knowledge\claude\legacy-14\04-Claude-3-Haiku\01-04-Claude-3-Haiku-架构精译.md	legacy-markdown	3728	2d2cf4c88eb774e4cbf55a739a6770b083343fb6f8e0da5947e09053eb3f2266
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\04-Claude-3-Haiku\05-04-Claude-3-Haiku-核心技术专题.md	content\llm-guide\_archive\model-knowledge\claude\legacy-14\04-Claude-3-Haiku\05-04-Claude-3-Haiku-核心技术专题.md	legacy-markdown	1094	bf761eb3b9842ab63f6d39fc73d2b6b6a59985111084b64573d9be22debc2f9d
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\04-Claude-3-Haiku\pdfs\Claude-3-Haiku.html	content\llm-guide\_sources\model-reports\claude\legacy-14\04-Claude-3-Haiku\pdfs\Claude-3-Haiku.html	official-html-snapshot	113242	755d3a6640657f86d0ee6855aeca69ce064a6a11cdb9e124026bd3cf9964a71e
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\05-Claude-3-Sonnet\01-05-Claude-3-Sonnet-架构精译.md	content\llm-guide\_archive\model-knowledge\claude\legacy-14\05-Claude-3-Sonnet\01-05-Claude-3-Sonnet-架构精译.md	legacy-markdown	2527	f95be00c4d1a8c9268271915c44c95f16583f5ffc552966bad4abdd7f6064d5c
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\05-Claude-3-Sonnet\05-05-Claude-3-Sonnet-核心技术专题.md	content\llm-guide\_archive\model-knowledge\claude\legacy-14\05-Claude-3-Sonnet\05-05-Claude-3-Sonnet-核心技术专题.md	legacy-markdown	15266	6000b1be9f19b009932937a47b6bfb49f581c30b2996d446e48dbe54a2610f7a
